activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,p1
A001,21,PLAT:BET:S16:EB,p1
A001,21,PLAT:BET:S17:EB,p1
A001,21,SEC:BET:S15_S16:EB,p1
A001,21,SEC:BET:S16_S17:EB,p1
A001,24,PLAT:BET:S15:EB,p2
A001,24,PLAT:BET:S16:EB,p1
A001,24,PLAT:BET:S17:EB,p2
A001,24,SEC:BET:S15_S16:EB,p1
A001,24,SEC:BET:S16_S17:EB,p1
A002,22,PLAT:BET:S11:WB,p2
A002,22,PLAT:BET:S12:WB,p2
A002,22,PLAT:BET:S13:WB,p2
A002,22,SEC:BET:S11_S12:WB,p1
A002,22,SEC:BET:S12_S13:WB,p2
A003,11,PLAT:BET:H01:EB,p1
A003,11,PLAT:BET:H02:EB,p1
A003,11,PLAT:BET:S15:EB,p1
A003,11,PLAT:BET:S16:EB,p1
A003,11,SEC:BET:H01_H02:EB,p1
A003,11,SEC:BET:H02_S15:EB,p1
A003,11,SEC:BET:S15_S16:EB,p1
A003,12,PLAT:BET:H01:EB,p1
A003,12,PLAT:BET:H02:EB,p1
A003,12,PLAT:BET:S15:EB,p2
A003,12,PLAT:BET:S16:EB,p1
A003,12,SEC:BET:H01_H02:EB,p1
A003,12,SEC:BET:H02_S15:EB,p2
A003,12,SEC:BET:S15_S16:EB,p1
A003,13,PLAT:BET:H01:EB,p1
A003,13,PLAT:BET:H02:EB,p1
A003,13,PLAT:BET:S15:EB,p1
A003,13,PLAT:BET:S16:EB,p1
A003,13,SEC:BET:H01_H02:EB,p1
A003,13,SEC:BET:H02_S15:EB,p1
A003,13,SEC:BET:S15_S16:EB,p1
A003,14,PLAT:BET:H01:EB,p1
A003,14,PLAT:BET:H02:EB,p1
A003,14,PLAT:BET:S15:EB,p2
A003,14,PLAT:BET:S16:EB,p2
A003,14,SEC:BET:H01_H02:EB,p1
A003,14,SEC:BET:H02_S15:EB,p1
A003,14,SEC:BET:S15_S16:EB,p3
A003,17,PLAT:BET:H01:EB,p1
A003,17,PLAT:BET:H02:EB,p1
A003,17,PLAT:BET:S15:EB,p1
A003,17,PLAT:BET:S16:EB,p1
A003,17,SEC:BET:H01_H02:EB,p1
A003,17,SEC:BET:H02_S15:EB,p1
A003,17,SEC:BET:S15_S16:EB,p1
A004,21,PLAT:ALP:H01:EB,p1
A004,21,PLAT:ALP:S03:EB,p1
A004,21,PLAT:ALP:S04:EB,p1
A004,21,SEC:ALP:S03_S04:EB,p2
A004,21,SEC:ALP:S04_H01:EB,p1
A004,22,PLAT:ALP:H01:EB,p1
A004,22,PLAT:ALP:S03:EB,p1
A004,22,PLAT:ALP:S04:EB,p1
A004,22,SEC:ALP:S03_S04:EB,p1
A004,22,SEC:ALP:S04_H01:EB,p1
A004,23,PLAT:ALP:H01:EB,p1
A004,23,PLAT:ALP:S03:EB,p1
A004,23,PLAT:ALP:S04:EB,p1
A004,23,SEC:ALP:S03_S04:EB,p1
A004,23,SEC:ALP:S04_H01:EB,p1
A006,4,PLAT:ALP:H01:WB,p1
A006,4,PLAT:ALP:H02:WB,p1
A006,4,PLAT:ALP:S03:WB,p2
A006,4,PLAT:ALP:S04:WB,p2
A006,4,SEC:ALP:H01_H02:WB,p1
A006,4,SEC:ALP:S03_S04:WB,p1
A006,4,SEC:ALP:S04_H01:WB,p1
A006,21,PLAT:ALP:H01:WB,p1
A006,21,PLAT:ALP:H02:WB,p1
A006,21,PLAT:ALP:S03:WB,p1
A006,21,PLAT:ALP:S04:WB,p2
A006,21,SEC:ALP:H01_H02:WB,p1
A006,21,SEC:ALP:S03_S04:WB,p1
A006,21,SEC:ALP:S04_H01:WB,p1
A007,15,PLAT:BET:H01:EB,p1
A007,15,PLAT:BET:H02:EB,p1
A007,15,SEC:BET:H01_H02:EB,p1
A007,16,PLAT:BET:H01:EB,p1
A007,16,PLAT:BET:H02:EB,p1
A007,16,SEC:BET:H01_H02:EB,p1
A007,17,PLAT:BET:H01:EB,p1
A007,17,PLAT:BET:H02:EB,p1
A007,17,SEC:BET:H01_H02:EB,p1
A007,18,PLAT:BET:H01:EB,p1
A007,18,PLAT:BET:H02:EB,p1
A007,18,SEC:BET:H01_H02:EB,p1
A007,19,PLAT:BET:H01:EB,p1
A007,19,PLAT:BET:H02:EB,p1
A007,19,SEC:BET:H01_H02:EB,p1
A007,22,PLAT:BET:H01:EB,p1
A007,22,PLAT:BET:H02:EB,p1
A007,22,SEC:BET:H01_H02:EB,p1
A007,23,PLAT:BET:H01:EB,p1
A007,23,PLAT:BET:H02:EB,p1
A007,23,SEC:BET:H01_H02:EB,p1
A008,20,PLAT:BET:S17:EB,p1
A008,20,PLAT:BET:S18:EB,p1
A008,20,SEC:BET:S17_S18:EB,p1
A008,21,PLAT:BET:S17:EB,p1
A008,21,PLAT:BET:S18:EB,p1
A008,21,SEC:BET:S17_S18:EB,p3
A008,23,PLAT:BET:S17:EB,p1
A008,23,PLAT:BET:S18:EB,p2
A008,23,SEC:BET:S17_S18:EB,p1
