activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,p2
A001,21,PLAT:BET:S16:EB,p2
A001,21,PLAT:BET:S17:EB,p1
A001,21,SEC:BET:S15_S16:EB,p1
A001,21,SEC:BET:S16_S17:EB,p1
A001,22,PLAT:BET:S15:EB,p1
A001,22,PLAT:BET:S16:EB,p1
A001,22,PLAT:BET:S17:EB,p1
A001,22,SEC:BET:S15_S16:EB,p1
A001,22,SEC:BET:S16_S17:EB,p1
A002,1,PLAT:BET:S11:WB,p1
A002,1,PLAT:BET:S12:WB,p1
A002,1,PLAT:BET:S13:WB,p1
A002,1,SEC:BET:S11_S12:WB,p1
A002,1,SEC:BET:S12_S13:WB,p1
A003,11,PLAT:BET:H01:EB,p1
A003,11,PLAT:BET:H02:EB,p1
A003,11,PLAT:BET:S15:EB,p1
A003,11,PLAT:BET:S16:EB,p1
A003,11,SEC:BET:H01_H02:EB,p1
A003,11,SEC:BET:H02_S15:EB,p1
A003,11,SEC:BET:S15_S16:EB,p1
A003,12,PLAT:BET:H01:EB,p1
A003,12,PLAT:BET:H02:EB,p1
A003,12,PLAT:BET:S15:EB,p2
A003,12,PLAT:BET:S16:EB,p2
A003,12,SEC:BET:H01_H02:EB,p1
A003,12,SEC:BET:H02_S15:EB,p1
A003,12,SEC:BET:S15_S16:EB,p2
A003,13,PLAT:BET:H01:EB,p1
A003,13,PLAT:BET:H02:EB,p1
A003,13,PLAT:BET:S15:EB,p1
A003,13,PLAT:BET:S16:EB,p1
A003,13,SEC:BET:H01_H02:EB,p1
A003,13,SEC:BET:H02_S15:EB,p1
A003,13,SEC:BET:S15_S16:EB,p1
A003,15,PLAT:BET:H01:EB,p1
A003,15,PLAT:BET:H02:EB,p1
A003,15,PLAT:BET:S15:EB,p1
A003,15,PLAT:BET:S16:EB,p2
A003,15,SEC:BET:H01_H02:EB,p1
A003,15,SEC:BET:H02_S15:EB,p1
A003,15,SEC:BET:S15_S16:EB,p2
A003,16,PLAT:BET:H01:EB,p1
A003,16,PLAT:BET:H02:EB,p1
A003,16,PLAT:BET:S15:EB,p1
A003,16,PLAT:BET:S16:EB,p1
A003,16,SEC:BET:H01_H02:EB,p1
A003,16,SEC:BET:H02_S15:EB,p1
A003,16,SEC:BET:S15_S16:EB,p1
A004,18,PLAT:ALP:H01:EB,p1
A004,18,PLAT:ALP:S03:EB,p1
A004,18,PLAT:ALP:S04:EB,p1
A004,18,SEC:ALP:S03_S04:EB,p1
A004,18,SEC:ALP:S04_H01:EB,p1
A004,21,PLAT:ALP:H01:EB,p1
A004,21,PLAT:ALP:S03:EB,p1
A004,21,PLAT:ALP:S04:EB,p1
A004,21,SEC:ALP:S03_S04:EB,p1
A004,21,SEC:ALP:S04_H01:EB,p1
A004,22,PLAT:ALP:H01:EB,p1
A004,22,PLAT:ALP:S03:EB,p1
A004,22,PLAT:ALP:S04:EB,p1
A004,22,SEC:ALP:S03_S04:EB,p1
A004,22,SEC:ALP:S04_H01:EB,p1
A006,4,PLAT:ALP:H01:WB,p1
A006,4,PLAT:ALP:H02:WB,p1
A006,4,PLAT:ALP:S03:WB,p2
A006,4,PLAT:ALP:S04:WB,p2
A006,4,SEC:ALP:H01_H02:WB,p1
A006,4,SEC:ALP:S03_S04:WB,p1
A006,4,SEC:ALP:S04_H01:WB,p1
A006,5,PLAT:ALP:H01:WB,p1
A006,5,PLAT:ALP:H02:WB,p1
A006,5,PLAT:ALP:S03:WB,p1
A006,5,PLAT:ALP:S04:WB,p1
A006,5,SEC:ALP:H01_H02:WB,p1
A006,5,SEC:ALP:S03_S04:WB,p1
A006,5,SEC:ALP:S04_H01:WB,p1
A007,15,PLAT:BET:H01:EB,p1
A007,15,PLAT:BET:H02:EB,p1
A007,15,SEC:BET:H01_H02:EB,p1
A007,16,PLAT:BET:H01:EB,p1
A007,16,PLAT:BET:H02:EB,p1
A007,16,SEC:BET:H01_H02:EB,p1
A007,17,PLAT:BET:H01:EB,p1
A007,17,PLAT:BET:H02:EB,p1
A007,17,SEC:BET:H01_H02:EB,p1
A007,20,PLAT:BET:H01:EB,p1
A007,20,PLAT:BET:H02:EB,p1
A007,20,SEC:BET:H01_H02:EB,p1
A007,21,PLAT:BET:H01:EB,p1
A007,21,PLAT:BET:H02:EB,p1
A007,21,SEC:BET:H01_H02:EB,p1
A007,22,PLAT:BET:H01:EB,p1
A007,22,PLAT:BET:H02:EB,p1
A007,22,SEC:BET:H01_H02:EB,p1
A007,23,PLAT:BET:H01:EB,p1
A007,23,PLAT:BET:H02:EB,p1
A007,23,SEC:BET:H01_H02:EB,p1
A008,16,PLAT:BET:S17:EB,p2
A008,16,PLAT:BET:S18:EB,p1
A008,16,SEC:BET:S17_S18:EB,p1
A008,18,PLAT:BET:S17:EB,p1
A008,18,PLAT:BET:S18:EB,p1
A008,18,SEC:BET:S17_S18:EB,p1
A008,19,PLAT:BET:S17:EB,p1
A008,19,PLAT:BET:S18:EB,p1
A008,19,SEC:BET:S17_S18:EB,p1
A008,20,PLAT:BET:S17:EB,p1
A008,20,PLAT:BET:S18:EB,p1
A008,20,SEC:BET:S17_S18:EB,p1
A008,22,PLAT:BET:S17:EB,p1
A008,22,PLAT:BET:S18:EB,p1
A008,22,SEC:BET:S17_S18:EB,p1
A009,2,PLAT:ALP:S05:EB,p1
A009,2,PLAT:ALP:S06:EB,p1
A009,2,SEC:ALP:S05_S06:EB,p1
A009,3,PLAT:ALP:S05:EB,p1
A009,3,PLAT:ALP:S06:EB,p1
A009,3,SEC:ALP:S05_S06:EB,p1
A009,4,PLAT:ALP:S05:EB,p1
A009,4,PLAT:ALP:S06:EB,p1
A009,4,SEC:ALP:S05_S06:EB,p1
A009,5,PLAT:ALP:S05:EB,p1
A009,5,PLAT:ALP:S06:EB,p1
A009,5,SEC:ALP:S05_S06:EB,p1
A009,6,PLAT:ALP:S05:EB,p1
A009,6,PLAT:ALP:S06:EB,p1
A009,6,SEC:ALP:S05_S06:EB,p1
A009,7,PLAT:ALP:S05:EB,p1
A009,7,PLAT:ALP:S06:EB,p1
A009,7,SEC:ALP:S05_S06:EB,p1
A009,9,PLAT:ALP:S05:EB,p1
A009,9,PLAT:ALP:S06:EB,p1
A009,9,SEC:ALP:S05_S06:EB,p1
A011,15,PLAT:BET:S15:EB,p1
A011,15,PLAT:BET:S16:EB,p2
A011,15,PLAT:BET:S17:EB,p1
A011,15,SEC:BET:S15_S16:EB,p2
A011,15,SEC:BET:S16_S17:EB,p2
A011,17,PLAT:BET:S15:EB,p1
A011,17,PLAT:BET:S16:EB,p2
A011,17,PLAT:BET:S17:EB,p2
A011,17,SEC:BET:S15_S16:EB,p1
A011,17,SEC:BET:S16_S17:EB,p1
A012,2,PLAT:BET:H01:WB,p1
A012,2,PLAT:BET:H02:WB,p1
A012,2,PLAT:BET:S15:WB,p1
A012,2,SEC:BET:H01_H02:WB,p1
A012,2,SEC:BET:H02_S15:WB,p1
A012,6,PLAT:BET:H01:WB,p1
A012,6,PLAT:BET:H02:WB,p1
A012,6,PLAT:BET:S15:WB,p1
A012,6,SEC:BET:H01_H02:WB,p1
A012,6,SEC:BET:H02_S15:WB,p1
A012,7,PLAT:BET:H01:WB,p1
A012,7,PLAT:BET:H02:WB,p1
A012,7,PLAT:BET:S15:WB,p1
A012,7,SEC:BET:H01_H02:WB,p1
A012,7,SEC:BET:H02_S15:WB,p1
A012,13,PLAT:BET:H01:WB,p1
A012,13,PLAT:BET:H02:WB,p1
A012,13,PLAT:BET:S15:WB,p1
A012,13,SEC:BET:H01_H02:WB,p1
A012,13,SEC:BET:H02_S15:WB,p1
A012,14,PLAT:BET:H01:WB,p1
A012,14,PLAT:BET:H02:WB,p1
A012,14,PLAT:BET:S15:WB,p1
A012,14,SEC:BET:H01_H02:WB,p1
A012,14,SEC:BET:H02_S15:WB,p1
A012,17,PLAT:BET:H01:WB,p1
A012,17,PLAT:BET:H02:WB,p1
A012,17,PLAT:BET:S15:WB,p1
A012,17,SEC:BET:H01_H02:WB,p1
A012,17,SEC:BET:H02_S15:WB,p1
A012,19,PLAT:BET:H01:WB,p1
A012,19,PLAT:BET:H02:WB,p2
A012,19,PLAT:BET:S15:WB,p1
A012,19,SEC:BET:H01_H02:WB,p2
A012,19,SEC:BET:H02_S15:WB,p1
A013,21,PLAT:ALP:S05:WB,p2
A013,21,PLAT:ALP:S06:WB,p1
A013,21,SEC:ALP:S05_S06:WB,p2
A013,22,PLAT:ALP:S05:WB,p1
A013,22,PLAT:ALP:S06:WB,p1
A013,22,SEC:ALP:S05_S06:WB,p1
A013,23,PLAT:ALP:S05:WB,p1
A013,23,PLAT:ALP:S06:WB,p1
A013,23,SEC:ALP:S05_S06:WB,p1
A013,24,PLAT:ALP:S05:WB,p1
A013,24,PLAT:ALP:S06:WB,p1
